timestamp,cycle,object_id,label,value,unit,in_alarm,error
2026-03-03T00:17:43.176118,8,"analog-value,0",T Set,21.0,°C,False,
2026-03-03T00:17:43.176118,8,"analog-input,0",T Indoor,20.899999618530273,°C,False,
2026-03-03T00:17:45.183723,9,"analog-value,0",T Set,21.0,°C,False,
2026-03-03T00:17:45.183723,9,"analog-input,0",T Indoor,21.299999237060547,°C,False,
2026-03-03T00:17:47.194936,10,"analog-value,0",T Set,21.0,°C,False,
2026-03-03T00:17:47.194936,10,"analog-input,0",T Indoor,20.700000762939453,°C,False,
2026-03-03T00:26:11.372087,1,"analog-input,0",T Indoor,20.700000762939453,°C,False,
2026-03-03T00:26:11.372087,1,"analog-input,1",T Water,34.900001525878906,°C,False,
2026-03-03T00:26:11.372087,1,"analog-input,2",T Outdoor,12.0,°C,False,
2026-03-03T00:26:11.372087,1,"analog-value,0",T Set,21.0,°C,False,
2026-03-03T00:26:11.372087,1,"analog-value,1",Setpoint 1,21.0,°C,False,
2026-03-03T00:26:11.372087,1,"analog-value,2",Setpoint 2,19.0,°C,False,
2026-03-03T00:26:11.372087,1,"analog-value,3",Setpoint 3,17.0,°C,False,
2026-03-03T00:26:11.372087,1,"binary-value,0",Heater,active,,False,
2026-03-03T00:26:11.372087,1,"binary-value,1",Chiller,inactive,,False,
2026-03-03T00:26:11.372087,1,"multi-state-value,0",State,2,,False,
2026-03-03T00:26:11.372087,1,"multi-state-value,1",Vent Level,2,,False,
2026-03-03T00:26:13.378659,2,"analog-input,0",T Indoor,20.399999618530273,°C,False,
2026-03-03T00:26:13.378659,2,"analog-input,1",T Water,34.599998474121094,°C,False,
2026-03-03T00:26:13.378659,2,"analog-input,2",T Outdoor,12.0,°C,False,
2026-03-03T00:26:13.378659,2,"analog-value,0",T Set,21.0,°C,False,
2026-03-03T00:26:13.378659,2,"analog-value,1",Setpoint 1,21.0,°C,False,
2026-03-03T00:26:13.378659,2,"analog-value,2",Setpoint 2,19.0,°C,False,
2026-03-03T00:26:13.378659,2,"analog-value,3",Setpoint 3,17.0,°C,False,
2026-03-03T00:26:13.378659,2,"binary-value,0",Heater,active,,False,
2026-03-03T00:26:13.378659,2,"binary-value,1",Chiller,inactive,,False,
2026-03-03T00:26:13.378659,2,"multi-state-value,0",State,2,,False,
2026-03-03T00:26:13.378659,2,"multi-state-value,1",Vent Level,4,,False,
2026-03-03T00:26:15.392690,3,"analog-input,0",T Indoor,21.0,°C,False,
2026-03-03T00:26:15.392690,3,"analog-input,1",T Water,34.20000076293945,°C,False,
2026-03-03T00:26:15.392690,3,"analog-input,2",T Outdoor,12.0,°C,False,
2026-03-03T00:26:15.392690,3,"analog-value,0",T Set,21.0,°C,False,
2026-03-03T00:26:15.392690,3,"analog-value,1",Setpoint 1,21.0,°C,False,
